BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
4031647;Indiestraat 22_Genuastraat 5-7;;;;;2020-06-12;;;
5575585;Indiestraat 22_Genuastraat 5-7;;;;;2020-06-12;;;
108941;Indiestraat 22_Genuastraat 5-7;;;;;2020-06-12;;;
1735094;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2020-03-10;2020-01-19;;
1735095;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2020-03-10;2020-01-19;;
108075;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2020-03-10;2020-01-19;;
108074;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2020-03-10;2020-01-19;;
1735096;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2020-03-10;2020-01-19;;
108073;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2020-03-10;2020-01-19;;
1735088;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2020-03-10;2020-01-19;;
108076;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2020-03-10;2020-01-19;;
108078;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;A;2020-03-10;2020-01-19;;
1735099;1735099;Amsterdamstraat;27;;XA;2020-05-26;2020-05-26;;
1128021;1128021;;;;;2019-12-18;;;
109135;109135;Verbindingsdok-Oostkaai;1;;A;2020-03-12;2019-11-05;;
2024913;Nassaustraat 18A-20-22;;;;;2020-03-18;;;
4059303;Nassaustraat 18A-20-22;;;;;2020-03-18;;;
2024906;Nassaustraat 18A-20-22;;;;;2020-03-18;;;
4505626;4505626;;;;;2020-06-20;;;
4505621;Verbindingsdok-Westkaai 22-24;;;;;2020-06-11;;;
1128020;Verbindingsdok-Westkaai 22-24;;;;;2020-06-11;;;
109140;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;2020-06-11;2020-03-19;;
109139;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;2020-06-11;2020-03-19;;
5507308;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;2020-06-11;2020-03-19;;
5507312;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;2020-06-11;2020-03-19;;
2024759;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;2020-06-11;2020-03-19;;
2024771;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;2020-06-11;2020-03-19;;
2024775;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;2020-06-11;2020-03-19;;
5508518;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;2020-06-11;2020-03-19;;
5507311;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;2020-06-11;2020-03-19;;
