BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
1759944;1759944;;;;;2020-08-11;;;
110161;110161;;;;;;;NOK;
1873627;1873627;Frankrijklei;28;;XA;2020-02-11;2020-02-13;;
4506661;4506661;Frans Halsplein;4;;XC;2020-03-29;2020-03-02;;
4507074;4507074;;;;;2020-07-06;;;
1960777;1960777;;;;;;;NOK;
1962025;1962025;Kipdorpvest;21;;XC;2020-01-30;2020-02-13;;
5915249;5915249;Kipdorpvest;34;;XC;2020-01-27;2020-03-27;;
4013488;Korte Klarenstraat 9A-9B;;;;;;;NOK;
962189;Korte Klarenstraat 9A-9B;;;;;;;NOK;
2027675;2027675;;;;;;;NOK;
5576044;5576044;;;;;2020-08-04;;;
2027799;2027799;Lange Nieuwstraat;62;;XC;2020-05-27;2020-05-27;;
4510100;4510100;;;;;2020-07-06;;;
1465553;1465553;;;;;;;NOK;
110031;110031;Lange Nieuwstraat;29;;C;2020-05-27;2020-05-27;;
1938988;1938988;;;;;2020-06-26;;;
109986;109986;;;;;;;NOK;
