BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
3047650;Lange Schipstraat 70-72-74-76-78;;;;;2020-10-12;;;
3047646;Lange Schipstraat 70-72-74-76-78;;;;;2020-10-12;;;
3047652;Lange Schipstraat 70-72-74-76-78;;;;;2020-10-12;;;
3047655;Lange Schipstraat 70-72-74-76-78;;;;;2020-10-12;;;
3047660;Lange Schipstraat 70-72-74-76-78;;;;;2020-10-12;;;
3054434;Lekkernijstraatje 8-10;;;;;2020-10-12;;;
4246718;Lekkernijstraatje 8-10;;;;;2020-10-12;;;
3046132;Persoonshoek 9-11-13;;;;;2020-10-12;;;
3046136;Persoonshoek 9-11-13;;;;;2020-10-12;;;
3046140;Persoonshoek 9-11-13;;;;;2020-10-12;;;
