BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
700914;700914;;;;;2020-10-12;;;
700931;700931;;;;;2020-10-12;;;
700930;700930;;;;;2020-10-12;;;
701327;701327;;;;;2020-09-05;;;
2424023;2424023;;;;;;;NOK;
3937367;3937367;;;;;2020-10-06;;;
3937368;3937368;;;;;2020-10-06;;;
2408077;2408077;;;;;;;NOK;
4888632;4888632;;;;;2020-09-05;;;
700925;700925;;;;;2020-10-12;;;
