OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern","BUILDING KEY",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
779041,"EVERE - FH03","(L/B/S)U template",10333454,,1003593,"Avenue Henri Conscience - H. Consciencelaan",50,,,,LU,
779042,"EVERE - FH03","(L/B/S)U template",10333455,,1003593,"Avenue Henri Conscience - H. Consciencelaan",50,,,,LU,
779043,"EVERE - FH03","(L/B/S)U template",10333456,,1003593,"Avenue Henri Conscience - H. Consciencelaan",50,,,,LU,
782196,"EVERE - FH03","(L/B/S)U template",10333459,,5583175,"Avenue Henri Conscience - H. Consciencelaan",262,,,,BU,
779804,"EVERE - FH03","(L/B/S)U template",10333504,,1621465,"Lindestraat - Rue du Tilleul",299,,,,BU,
779712,"EVERE - FH03","(L/B/S)U template",10333505,,1621307,"Weerstandstraat - Rue de la Resistance",13,,,,BU,
779713,"EVERE - FH03","(L/B/S)U template",10333506,,1621307,"Weerstandstraat - Rue de la Resistance",13,,,,BU,
784127,"EVERE - FH03","(L/B/S)U template",10333507,,835044,"Godfroid Kurthstraat - Rue Godfroid Kurth",25,,,,BU,
782037,"EVERE - FH03","(L/B/S)U template",10333508,,4119648,"Godfroid Kurthstraat - Rue Godfroid Kurth",9,,,,BU,
779082,"EVERE - FH03","(L/B/S)U template",10333510,,1003624,"August De Boeckstraat - Rue Auguste De Boeck",70,,,,BU,
783094,"EVERE - FH03","(L/B/S)U template",10333511,,756076,"August De Boeckstraat - Rue Auguste De Boeck",66,,,,BU,
783095,"EVERE - FH03","(L/B/S)U template",10333512,,756076,"August De Boeckstraat - Rue Auguste De Boeck",66,,,,BU,
782155,"EVERE - FH03","(L/B/S)U template",10333513,,5540710,"August De Boeckstraat - Rue Auguste De Boeck",68,,,,BU,
779044,"EVERE - FH03","(L/B/S)U template",10333516,,1003593,"Avenue Henri Conscience - H. Consciencelaan",50,,,,BU,
780250,"EVERE - FH03","(L/B/S)U template",10333530,,1621713,"Avenue Henri Conscience - H. Consciencelaan",259,,,,BU,
