"OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,""Opdrachtnummer extern"",""BUILDING KEY"",Straat,Huisnummer,""Huisnummer Toevoeging"",""SSV Action"",""SSV Action LU"",Nature,""Building exists"""
"50455,""HASSELT - FH02"",""BUILDING template"",69186,,69186,Bonnefantenstraat,19,,,,,Y"
"50456,""HASSELT - FH02"",""BUILDING template"",70299,,70299,Witte-Nonnenstraat,11,,,,,"
"50457,""HASSELT - FH02"",""BUILDING template"",70300,,70300,Witte-Nonnenstraat,13,,,,,"
"50458,""HASSELT - FH02"",""BUILDING template"",2448107,,2448107,Witte-Nonnenstraat,19,,,,,"
"50459,""HASSELT - FH02"",""BUILDING template"",2409726,,2409726,Bonnefantenstraat,18,,,,,"
"50460,""HASSELT - FH02"",""BUILDING template"",69185,,69185,Bonnefantenstraat,20,,,,,Y"
"50461,""HASSELT - FH02"",""BUILDING template"",4846479,,4846479,Bonnefantenstraat,22,,,,,Y"
"50462,""HASSELT - FH02"",""BUILDING template"",2409729,,2409729,Bonnefantenstraat,24,,,,,"
"50463,""HASSELT - FH02"",""BUILDING template"",2409730,,2409730,Bonnefantenstraat,26,,,,,Y"
"50464,""HASSELT - FH02"",""BUILDING template"",70228,,70228,Demerstraat,47,,,,,"
"50465,""HASSELT - FH02"",""BUILDING template"",2412686,,2412686,Demerstraat,49,,,,,"
"50466,""HASSELT - FH02"",""BUILDING template"",2412692,,2412692,Demerstraat,51,,,,,"
"50467,""HASSELT - FH02"",""BUILDING template"",4846597,,4846597,Demerstraat,53,,,,,"
"50468,""HASSELT - FH02"",""BUILDING template"",2412697,,2412697,Demerstraat,55,,,,,"
"50469,""HASSELT - FH02"",""BUILDING template"",2412702,,2412702,Demerstraat,57,,,,,"
"50470,""HASSELT - FH02"",""BUILDING template"",2412707,,2412707,Demerstraat,59,,,,,"
"50471,""HASSELT - FH02"",""BUILDING template"",2412711,,2412711,Demerstraat,61,,,,,"
"50472,""HASSELT - FH02"",""BUILDING template"",2412714,,2412714,Demerstraat,63,,,,,"
"50473,""HASSELT - FH02"",""BUILDING template"",2412720,,2412720,Demerstraat,65,,,,,"
"50474,""HASSELT - FH02"",""BUILDING template"",2412727,,2412727,Demerstraat,67,,,,,"
"50475,""HASSELT - FH02"",""BUILDING template"",2412733,,2412733,Demerstraat,69,,,,,"
"50477,""HASSELT - FH02"",""BUILDING template"",2412740,,2412740,Demerstraat,77,,,,,"
"50478,""HASSELT - FH02"",""BUILDING template"",2412743,,2412743,Demerstraat,79,,,,,"
"50479,""HASSELT - FH02"",""BUILDING template"",70231,,70231,Demerstraat,81,,,,,"
"50480,""HASSELT - FH02"",""BUILDING template"",70232,,70232,Demerstraat,83,,,,,"
"50481,""HASSELT - FH02"",""BUILDING template"",70229,,70229,Demerstraat,85,,,,,"
"50482,""HASSELT - FH02"",""BUILDING template"",2412872,,2412872,Demerstraat,89,,,,,"
"50483,""HASSELT - FH02"",""BUILDING template"",2412875,,2412875,Demerstraat,91,,,,,"
"50484,""HASSELT - FH02"",""BUILDING template"",2412879,,2412879,Demerstraat,93,,,,,"
"50485,""HASSELT - FH02"",""BUILDING template"",2412883,,2412883,Demerstraat,95,,,,,"
"50486,""HASSELT - FH02"",""BUILDING template"",70415,,70415,Demerstraat,97,,,,,"
"50487,""HASSELT - FH02"",""BUILDING template"",70233,,70233,Demerstraat,99,,,,,"
"50488,""HASSELT - FH02"",""BUILDING template"",70222,,70222,Paardsdemerstraat,2,,,,,"
"50489,""HASSELT - FH02"",""BUILDING template"",70224,,70224,Paardsdemerstraat,4,,,,,"
"50490,""HASSELT - FH02"",""BUILDING template"",70288,,70288,Witte-Nonnenstraat,1,,,,,"
"50491,""HASSELT - FH02"",""BUILDING template"",4846835,,4846835,Witte-Nonnenstraat,3,,,,,"
"50492,""HASSELT - FH02"",""BUILDING template"",70289,,70289,Witte-Nonnenstraat,7,,,,,"
"50493,""HASSELT - FH02"",""BUILDING template"",70335,,70335,Dorpstraat,18,,,,,"
"50494,""HASSELT - FH02"",""BUILDING template"",70340,,70340,Dorpstraat,20,,,,,"
"50495,""HASSELT - FH02"",""BUILDING template"",2414108,,2414108,Dorpstraat,22,,,,,"
"50496,""HASSELT - FH02"",""BUILDING template"",4846051,,4846051,Dorpstraat,24,,,,,"
"50497,""HASSELT - FH02"",""BUILDING template"",2414111,,2414111,Dorpstraat,26,,,,,"
"50498,""HASSELT - FH02"",""BUILDING template"",2414115,,2414115,Dorpstraat,28,,,,,"
"50499,""HASSELT - FH02"",""BUILDING template"",2414118,,2414118,Dorpstraat,30,,,,,"
"50500,""HASSELT - FH02"",""BUILDING template"",2414123,,2414123,Dorpstraat,34,,,,,"
"50501,""HASSELT - FH02"",""BUILDING template"",2414126,,2414126,Dorpstraat,36,,,,,"
"50502,""HASSELT - FH02"",""BUILDING template"",2414129,,2414129,Dorpstraat,38,,,,,"
"50503,""HASSELT - FH02"",""BUILDING template"",70339,,70339,Dorpstraat,40,,,,,"
"50504,""HASSELT - FH02"",""BUILDING template"",6145395,,6145395,Dorpstraat,42,,,,,"
"50505,""HASSELT - FH02"",""BUILDING template"",70259,,70259,Isabellastraat,2,,,,,"
"50506,""HASSELT - FH02"",""BUILDING template"",2418876,,2418876,Isabellastraat,4,,,,,"
"50507,""HASSELT - FH02"",""BUILDING template"",4846870,,4846870,Isabellastraat,6,,,,,"
"50508,""HASSELT - FH02"",""BUILDING template"",4846879,,4846879,Isabellastraat,10,,,,,"
"50509,""HASSELT - FH02"",""BUILDING template"",2418883,,2418883,Isabellastraat,12,,,,,"
"50510,""HASSELT - FH02"",""BUILDING template"",3937385,,3937385,Isabellastraat,16,,,,,"
"50511,""HASSELT - FH02"",""BUILDING template"",70263,,70263,Isabellastraat,32,,,,,"
"50512,""HASSELT - FH02"",""BUILDING template"",3937386,,3937386,Isabellastraat,44,,,,,"
"50513,""HASSELT - FH02"",""BUILDING template"",70267,,70267,Isabellastraat,48,,,,,"
"50514,""HASSELT - FH02"",""BUILDING template"",70266,,70266,Isabellastraat,50,,,,,"
"50515,""HASSELT - FH02"",""BUILDING template"",3937387,,3937387,Isabellastraat,52,,,,,"
"50516,""HASSELT - FH02"",""BUILDING template"",4846560,,4846560,Isabellastraat,58,,,,,"
"50517,""HASSELT - FH02"",""BUILDING template"",4054422,,4054422,Isabellastraat,60,,,,,"
"50518,""HASSELT - FH02"",""BUILDING template"",70268,,70268,Isabellastraat,62,,,,,"
"50519,""HASSELT - FH02"",""BUILDING template"",70269,,70269,Isabellastraat,64,,,,,"
"50520,""HASSELT - FH02"",""BUILDING template"",3937388,,3937388,Isabellastraat,66,,,,,"
"50521,""HASSELT - FH02"",""BUILDING template"",70270,,70270,Isabellastraat,68,,,,,"
"50522,""HASSELT - FH02"",""BUILDING template"",71028,,71028,Kattegatstraat,4,,,,,"
"50523,""HASSELT - FH02"",""BUILDING template"",70258,,70258,Kattegatstraat,6,,,,,"
"50524,""HASSELT - FH02"",""BUILDING template"",70972,,70972,Thonissenlaan,31,,,,,"
"50525,""HASSELT - FH02"",""BUILDING template"",2442280,,2442280,Thonissenlaan,33,,,,,"
"50527,""HASSELT - FH02"",""BUILDING template"",2442294,,2442294,Thonissenlaan,37,,,,,"
"50528,""HASSELT - FH02"",""BUILDING template"",2442329,,2442329,Thonissenlaan,43,,,,,"
"50529,""HASSELT - FH02"",""BUILDING template"",2442337,,2442337,Thonissenlaan,45,,,,,"
"50530,""HASSELT - FH02"",""BUILDING template"",70248,,70248,Thonissenlaan,47,,,,,"
"50531,""HASSELT - FH02"",""BUILDING template"",2442357,,2442357,Thonissenlaan,49,,,,,"
"50532,""HASSELT - FH02"",""BUILDING template"",2442363,,2442363,Thonissenlaan,51,,,,,"
"50533,""HASSELT - FH02"",""BUILDING template"",2442372,,2442372,Thonissenlaan,53,,,,,"
"50534,""HASSELT - FH02"",""BUILDING template"",2442381,,2442381,Thonissenlaan,55,,,,,"
"50535,""HASSELT - FH02"",""BUILDING template"",2442393,,2442393,Thonissenlaan,57,,,,,"
"50536,""HASSELT - FH02"",""BUILDING template"",2442404,,2442404,Thonissenlaan,59,,,,,"
"50537,""HASSELT - FH02"",""BUILDING template"",1487446,,1487446,Thonissenlaan,61,,,,,"
"50538,""HASSELT - FH02"",""BUILDING template"",70250,,70250,Thonissenlaan,63,,,,,"
"50539,""HASSELT - FH02"",""BUILDING template"",70252,,70252,Thonissenlaan,67,,,,,"
"50540,""HASSELT - FH02"",""BUILDING template"",2442430,,2442430,Thonissenlaan,69,,,,,"
"50541,""HASSELT - FH02"",""BUILDING template"",70210,,70210,Demerstraat,101,,,,,"
"50542,""HASSELT - FH02"",""BUILDING template"",2412891,,2412891,Demerstraat,103,,,,,"
"50543,""HASSELT - FH02"",""BUILDING template"",2412893,,2412893,Demerstraat,105,,,,,"
"50544,""HASSELT - FH02"",""BUILDING template"",70211,,70211,Demerstraat,107,,,,,"
"50545,""HASSELT - FH02"",""BUILDING template"",2412896,,2412896,Demerstraat,109,,,,,"
"50546,""HASSELT - FH02"",""BUILDING template"",2406837,,2406837,Jeneverplein,1,,,,,"
"50547,""HASSELT - FH02"",""BUILDING template"",2406839,,2406839,Jeneverplein,2,,,,,"
"50548,""HASSELT - FH02"",""BUILDING template"",2406841,,2406841,Jeneverplein,3,,,,,"
"50549,""HASSELT - FH02"",""BUILDING template"",70334,,70334,Martelarenlaan,1,,,,,"
"50550,""HASSELT - FH02"",""BUILDING template"",2427976,,2427976,Martelarenlaan,3,,,,,"
"50551,""HASSELT - FH02"",""BUILDING template"",655206,,655206,Martelarenlaan,5,,,,,"
"50552,""HASSELT - FH02"",""BUILDING template"",655208,,655208,Martelarenlaan,7,,,,,"
"50952,""HASSELT - FH02"",""BUILDING template"",655210,,655210,Martelarenlaan,9,,,,,"
"50953,""HASSELT - FH02"",""BUILDING template"",655212,,655212,Martelarenlaan,11,,,,,"
"50954,""HASSELT - FH02"",""BUILDING template"",2427994,,2427994,Martelarenlaan,13,,,,,"
"50955,""HASSELT - FH02"",""BUILDING template"",2428154,,2428154,Martelarenlaan,15,,,,,"
"50956,""HASSELT - FH02"",""BUILDING template"",4846399,,4846399,Witte-Nonnenstraat,4,,,,,"
"50958,""HASSELT - FH02"",""BUILDING template"",70376,,70376,Witte-Nonnenstraat,8,,,,,"
"50960,""HASSELT - FH02"",""BUILDING template"",2448102,,2448102,Witte-Nonnenstraat,12,,,,,"
"50961,""HASSELT - FH02"",""BUILDING template"",70290,,70290,Witte-Nonnenstraat,14,,,,,"
"50962,""HASSELT - FH02"",""BUILDING template"",70291,,70291,Witte-Nonnenstraat,16,,,,,"
"50963,""HASSELT - FH02"",""BUILDING template"",5593955,,5593955,Witte-Nonnenstraat,18,,,,,"
"50965,""HASSELT - FH02"",""BUILDING template"",2448111,,2448111,Witte-Nonnenstraat,26,,,,,"
"50966,""HASSELT - FH02"",""BUILDING template"",2448113,,2448113,Witte-Nonnenstraat,28,,,,,"
"50967,""HASSELT - FH02"",""BUILDING template"",70106,,70106,Dorpstraat,3,,,,,"
"50968,""HASSELT - FH02"",""BUILDING template"",4846751,,4846751,Dorpstraat,5,,,,,"
"50969,""HASSELT - FH02"",""BUILDING template"",2414093,,2414093,Dorpstraat,7,,,,,"
"50970,""HASSELT - FH02"",""BUILDING template"",2414095,,2414095,Dorpstraat,9,,,,,"
"50971,""HASSELT - FH02"",""BUILDING template"",2414099,,2414099,Dorpstraat,11,,,,,"
"50972,""HASSELT - FH02"",""BUILDING template"",2414101,,2414101,Dorpstraat,13,,,,,"
"50973,""HASSELT - FH02"",""BUILDING template"",70102,,70102,Dorpstraat,15,,,,,"
"50974,""HASSELT - FH02"",""BUILDING template"",71104,,71104,Dorpstraat,21,,,,,"
"50975,""HASSELT - FH02"",""BUILDING template"",70338,,70338,Dorpstraat,23,,,,,"
"50976,""HASSELT - FH02"",""BUILDING template"",71103,,71103,Dorpstraat,25,,,,,"
"50977,""HASSELT - FH02"",""BUILDING template"",4144972,,4144972,Dorpstraat,27,,,,,"
"50978,""HASSELT - FH02"",""BUILDING template"",70336,,70336,Dorpstraat,29,,,,,"
"50979,""HASSELT - FH02"",""BUILDING template"",2414120,,2414120,Dorpstraat,31,,,,,"
"50980,""HASSELT - FH02"",""BUILDING template"",2414122,,2414122,Dorpstraat,33,,,,,"
"50981,""HASSELT - FH02"",""BUILDING template"",2414125,,2414125,Dorpstraat,35,,,,,"
"50982,""HASSELT - FH02"",""BUILDING template"",2414128,,2414128,Dorpstraat,37,,,,,"
"50983,""HASSELT - FH02"",""BUILDING template"",2414131,,2414131,Dorpstraat,39,,,,,"
"50984,""HASSELT - FH02"",""BUILDING template"",4846743,,4846743,Dorpstraat,41,,,,,"
