OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern","BUILDING KEY",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
360375,"HASSELT - FH06","BUILDING template",2409675,,2409675,Bondgenotenlaan,4,,,,,Y
360376,"HASSELT - FH06","BUILDING template",2409677,,2409677,Bondgenotenlaan,6,,,,,Y
360377,"HASSELT - FH06","BUILDING template",2409679,,2409679,Bondgenotenlaan,7,,,,,Y
360378,"HASSELT - FH06","BUILDING template",2409680,,2409680,Bondgenotenlaan,8,,,,,Y
360379,"HASSELT - FH06","BUILDING template",2409681,,2409681,Bondgenotenlaan,9,,,,,Y
360380,"HASSELT - FH06","BUILDING template",662562,,662562,Bondgenotenlaan,10,,,,,Y
360381,"HASSELT - FH06","BUILDING template",662451,,662451,Bondgenotenlaan,11,,,,,Y
360382,"HASSELT - FH06","BUILDING template",6052413,,6052413,Bondgenotenlaan,12,,,,,Y
360383,"HASSELT - FH06","BUILDING template",662449,,662449,Bondgenotenlaan,13,,,,,Y
360384,"HASSELT - FH06","BUILDING template",2409688,,2409688,Bondgenotenlaan,15,,,,,Y
360385,"HASSELT - FH06","BUILDING template",2409690,,2409690,Bondgenotenlaan,17,,,,,Y
360386,"HASSELT - FH06","BUILDING template",662447,,662447,Bondgenotenlaan,19,,,,,Y
360387,"HASSELT - FH06","BUILDING template",2409691,,2409691,Bondgenotenlaan,21,,,,,Y
360388,"HASSELT - FH06","BUILDING template",2409694,,2409694,Bondgenotenlaan,23,,,,,Y
360389,"HASSELT - FH06","BUILDING template",662321,,662321,Casterstraat,70,,,,,Y
360390,"HASSELT - FH06","BUILDING template",662323,,662323,Casterstraat,72,,,,,Y
360391,"HASSELT - FH06","BUILDING template",662594,,662594,Casterstraat,74,,,,,Y
360392,"HASSELT - FH06","BUILDING template",4845867,,4845867,Casterstraat,76,,,,,Y
360393,"HASSELT - FH06","BUILDING template",5884925,,5884925,Casterstraat,77,,,,,Y
360394,"HASSELT - FH06","BUILDING template",4845868,,4845868,Casterstraat,78,,,,,Y
360395,"HASSELT - FH06","BUILDING template",662593,,662593,Casterstraat,80,,,,,Y
360396,"HASSELT - FH06","BUILDING template",662592,,662592,Casterstraat,81,,,,,Y
360397,"HASSELT - FH06","BUILDING template",662591,,662591,Casterstraat,82,,,,,Y
360398,"HASSELT - FH06","BUILDING template",2411950,,2411950,Casterstraat,83,,,,,Y
360399,"HASSELT - FH06","BUILDING template",2411952,,2411952,Casterstraat,84,,,,,Y
