id;Zip;LAM_Street_Code;Street;Area_Name
1180-6;1180;6;Sint-Jobsteeg;W03-C-Uccle-FH08
1180-13;1180;13;Baron Perelmanstraat - Rue baron Perelman;W03-C-Uccle-FH08
1180-653;1180;653;Diepestraat;W03-C-Uccle-FH08
1180-836;1180;836;Beloeillaan;W03-C-Uccle-FH08
1180-1947;1180;1947;Casaltalaan - Avenue Casalta;W03-C-Uccle-FH08
1180-2249;1180;2249;Avenue des Chênes;W03-C-Uccle-FH08
1180-2322;1180;2322;Ringlaan - Avenue Circulaire;W03-C-Uccle-FH08
1180-2542;1180;2542;Copernicusstraat - Rue Copernic;W03-C-Uccle-FH08
1180-3184;1180;3184;Dolezlaan;W03-C-Uccle-FH08
1180-3661;1180;3661;Evenaarsstraat;W03-C-Uccle-FH08
1180-4761;1180;4761;Hamstraat;W03-C-Uccle-FH08
1180-4777;1180;4777;Avenue Hamoir;W03-C-Uccle-FH08
1180-6308;1180;6308;Avenue Latérale - Zijlaan;W03-C-Uccle-FH08
1180-6976;1180;6976;Maarschalklaan;W03-C-Uccle-FH08
1180-7252;1180;7252;Mercuriuslaan - Avenue de Mercure;W03-C-Uccle-FH08
1180-7563;1180;7563;Avenue Montana - Montanalaan;W03-C-Uccle-FH08
1180-7999;1180;7999;Sterrewachtlaan - Avenue de l'Observatoire;W03-C-Uccle-FH08
1180-8433;1180;8433;Rue de la Pêcherie;W03-C-Uccle-FH08
1180-8440;1180;8440;Rue des Pêcheurs - Vissersstraat;W03-C-Uccle-FH08
1180-9006;1180;9006;Racinglaan;W03-C-Uccle-FH08
1180-9168;1180;9168;Ruststraat - Rue du Repos;W03-C-Uccle-FH08
1180-11765;1180;11765;Chaussée de Waterloo;W03-C-Uccle-FH08
9100-12129;9100;12129;Hemelaerstraat;W03-D-Sint-Niklaas-FH01
1180-15018;1180;15018;Avenue François Folie - François Folielaan;W03-C-Uccle-FH08
1180-15096;1180;15096;Drève des Gendarmes - Gendarmendreef;W03-C-Uccle-FH08
1180-15679;1180;15679;Dieweg;W03-C-Uccle-FH08
1180-15933;1180;15933;Avenue Victor-Emmanuel III;W03-C-Uccle-FH08
1180-15967;1180;15967;Albert Lancasterlaan;W03-C-Uccle-FH08
1180-15986;1180;15986;Avenue Georges Lecointe;W03-C-Uccle-FH08
1000-16091;1000;16091;Terhulpsesteenweg;W03-C-Uccle-FH08
1180-16092;1180;16092;Terhulpsesteenweg;W03-C-Uccle-FH08
1180-16235;1180;16235;Baron Roger Vander Nootstraat - Rue Baron Roger Vander Noot;W03-C-Uccle-FH08
1180-16245;1180;16245;Vogelvangersweg;W03-C-Uccle-FH08
1000-16245;1000;16245;Vogelvangersweg;W03-C-Uccle-FH08
1180-16250;1180;16250;Opstalweg;W03-C-Uccle-FH08
1000-16257;1000;16257;Diesdellelaan;W03-C-Uccle-FH08
1180-16257;1180;16257;Diesdellelaan;W03-C-Uccle-FH08
1180-16401;1180;16401;Drossaardgaarde;W03-C-Uccle-FH08
1180-16496;1180;16496;Oude Molenstraat;W03-C-Uccle-FH08
1180-16672;1180;16672;Vossendreef - Drève des Renards;W03-C-Uccle-FH08
1180-17026;1180;17026;André Ryckmanslaan;W03-C-Uccle-FH08
1180-17042;1180;17042;Place de Saint-Job - Sint-Jobsplein;W03-C-Uccle-FH08
1180-17047;1180;17047;Drève du Sénéchal - Landvoogddreef;W03-C-Uccle-FH08
1180-17069;1180;17069;Berg van Sint-Job;W03-C-Uccle-FH08
1180-17095;1180;17095;Louis Thévenetlaan - Avenue Louis Thévenet;W03-C-Uccle-FH08
1180-17123;1180;17123;Pierre d'Unionlaan - Avenue Pierre d'Union;W03-C-Uccle-FH08
1180-17412;1180;17412;Avijlweg - Chemin Avijl;W03-C-Uccle-FH08
1180-17510;1180;17510;Jean Benaetsstraat - Rue Jean Benaets;W03-C-Uccle-FH08
1180-17570;1180;17570;Avenue Hippolyte Boulenger - Hippolyte Boulengerlaan;W03-C-Uccle-FH08
1180-17710;1180;17710;Avenue Jean et Pierre Carsoel;W03-C-Uccle-FH08
