;ZONE_NAME;MAINLAMKEY;CITY_NAME;DTP;FIC;FIS;FTS;Projectnummer;BG_Name;Blok;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant
75505;W01-C-Charleroi-FH01;1309;Charleroi;;;1.0;1.0;CHARLEROI - FH01;;121;Boulevard Joseph Tirou;2.0;;
75626;W01-C-Charleroi-FH01;2034373;Charleroi;;;1.0;;CHARLEROI - FH01;;113;Rue du Bief du Moulin;2.0;A;
75642;W01-C-Charleroi-FH01;2037178;Charleroi;;;1.0;;CHARLEROI - FH01;;112;Rue Arthur Pater;8.0;;
75763;W01-C-Charleroi-FH01;462794;Charleroi;;;1.0;1.0;CHARLEROI - FH01;;121;Rue Arthur Pater;11.0;;C
75773;W01-C-Charleroi-FH01;462962;Charleroi;1.0;;1.0;1.0;CHARLEROI - FH01;;101;Rue Ferrer (Charleroi);5.0;;
75789;W01-C-Charleroi-FH01;462987;Charleroi;;;1.0;;CHARLEROI - FH01;1/3;105;Rue de Heinzelin de Braucourt;3.0;;D
75842;W01-C-Charleroi-FH02;1144593;Charleroi;;;1.0;;CHARLEROI - FH02;17 rue de la science et 6 rue du gouvernement bloc (D);202;Rue de la Science;17.0;;D
75851;W01-C-Charleroi-FH02;1144626;Charleroi;;;1.0;;CHARLEROI - FH02;;202;Rue Tumelaire;13.0;;C
75855;W01-C-Charleroi-FH02;1144638;Charleroi;;;1.0;;CHARLEROI - FH02;;208;Rue Bassle;23.0;;D
75867;W01-C-Charleroi-FH02;1144662;Charleroi;;;1.0;;CHARLEROI - FH02;;201;Rue de la Science;1.0;;D
75883;W01-C-Charleroi-FH02;1144744;Charleroi;;;1.0;;CHARLEROI - FH02;rue du Gouvernement, 15, 6000 Charleroi (la Croix Rouge de Belgique );201;Rue du Gouvernement;15.0;;D
75884;W01-C-Charleroi-FH02;1144745;Charleroi;;;1.0;;CHARLEROI - FH02;rue du Gouvernement, 13, 6000 Charleroi;201;Rue du Gouvernement;13.0;;D
75891;W01-C-Charleroi-FH02;1183735;Charleroi;;;1.0;;CHARLEROI - FH02;4 rue de France;219;Rue de France (Charleroi);4.0;;D
75892;W01-C-Charleroi-FH02;1183736;Charleroi;;;1.0;;CHARLEROI - FH02;6 rue de france;219;Rue de France (Charleroi);6.0;;D
75899;W01-C-Charleroi-FH02;1183748;Charleroi;;;1.0;;CHARLEROI - FH02;78 rue de la montagne;219;Rue de la Montagne(Charleroi);78.0;;D
75915;W01-C-Charleroi-FH02;1481693;Charleroi;;;1.0;;CHARLEROI - FH02;29 rue ISAAC;206;Rue Isaac;29.0;;D
75948;W01-C-Charleroi-FH02;2021533;Charleroi;;;1.0;;CHARLEROI - FH02;rue Bassl̩ 13,6000 Charleroi;208;Rue Bassle;13.0;;D
75949;W01-C-Charleroi-FH02;2021535;Charleroi;;;1.0;;CHARLEROI - FH02;;208;Rue Bassle;19.0;;D
75951;W01-C-Charleroi-FH02;2021846;Charleroi;;;1.0;;CHARLEROI - FH02;;205;Rue Leon Bernus;3.0;;D
75953;W01-C-Charleroi-FH02;2021849;Charleroi;;;1.0;;CHARLEROI - FH02;;205;Rue Leon Bernus;7.0;;D
75957;W01-C-Charleroi-FH02;2021856;Charleroi;;;1.0;;CHARLEROI - FH02;;205;Rue Leon Bernus;15.0;;D
75959;W01-C-Charleroi-FH02;2021862;Charleroi;;;1.0;;CHARLEROI - FH02;27 rue L̩on Bernus;206;Rue Leon Bernus;27.0;;D
75960;W01-C-Charleroi-FH02;2021863;Charleroi;;;1.0;;CHARLEROI - FH02;31 rue L̩on Bernus;206;Rue Leon Bernus;31.0;;D
