;ZONE_NAME;ZONING_TCHNLGY;MAINLAMKEY;POSTAL_CODE;CITY_NAME;STREET_NAME;HOUSE_NUMBER;DTP;FIC;FIS;FTS;OpdrachtID;Projectnummer;Opdrachtnummer;BG_Name;Blok;Straat;Huisnummer;Huisnummer_Toevoeging;Buildingtype;Quadrant;NR_BU;NR_LU;NR_SU;UNITS_TOTAL;Opdrachttemplate
75585;W01-C-Charleroi-FH03;FTTH-Cu;2025619;6000.0;Charleroi;Rue Dagnelies;5;;;1.0;;36659.0;CHARLEROI - FH03;2025619;5 rue dagnelies;06;Rue Dagnelies;5;;SDU;;1;;1;;BUILDING template
75588;W01-C-Charleroi-FH03;FTTH-Cu;2025627;6000.0;Charleroi;Rue de Dampremy (Charleroi);4;;;1.0;;36697.0;CHARLEROI - FH03;2025627;4 rue de dampremy;08;Rue de Dampremy;4;;SDU;;1;;1;;BUILDING template
75593;W01-C-Charleroi-FH03;FTTH-Cu;2025632;6000.0;Charleroi;Rue de Dampremy (Charleroi);13;;;1.0;;36570.0;CHARLEROI - FH03;2025632;13 rue de dampremy;02;Rue de Dampremy;13;;SDU;;1;;3;;BUILDING template
75595;W01-C-Charleroi-FH03;FTTH-Cu;2025634;6000.0;Charleroi;Rue de Dampremy (Charleroi);15;;;1.0;;36571.0;CHARLEROI - FH03;2025634;15 rue de dampremy;02;Rue de Dampremy;15;;SDU;;1;;2;;BUILDING template
75600;W01-C-Charleroi-FH03;FTTH-Cu;2025640;6000.0;Charleroi;Rue de Dampremy (Charleroi);21;;;1.0;;36574.0;CHARLEROI - FH03;2025640;;02;Rue de Dampremy;21;;SDU;;1;;1;;BUILDING template
75605;W01-C-Charleroi-FH03;FTTH-Cu;2025646;6000.0;Charleroi;Rue de Dampremy (Charleroi);28;;;1.0;;36709.0;CHARLEROI - FH03;2025646;;08;Rue de Dampremy;28;;SDU;;1;;3;;BUILDING template
75616;W01-C-Charleroi-FH03;FTTH-Cu;2025666;6000.0;Charleroi;Rue de Dampremy (Charleroi);49;;;1.0;;36586.0;CHARLEROI - FH03;2025666;49 rue de dampremy;02;Rue de Dampremy;49;;SDU;;1;;2;;BUILDING template
75622;W01-C-Charleroi-FH03;FTTH-Cu;2025674;6000.0;Charleroi;Rue de Dampremy (Charleroi);60;;;1.0;;36720.0;CHARLEROI - FH03;2025674;60 rue de dampremy;08;Rue de Dampremy;60;;SDU;;1;;2;;BUILDING template
75623;W01-C-Charleroi-FH03;FTTH-Cu;2025675;6000.0;Charleroi;Rue de Dampremy (Charleroi);62;;;1.0;;36721.0;CHARLEROI - FH03;2025675;62 rue de dampremy;08;Rue de Dampremy;62;;SDU;;1;;2;;BUILDING template
75633;W01-C-Charleroi-FH03;FTTH-Cu;2027175;6000.0;Charleroi;Place de la Digue;10;;;1.0;;36652.0;CHARLEROI - FH03;2027175;medicentre;05;Place de la Digue;10;;SDU;C;;1;1;;BUILDING template
75650;W01-C-Charleroi-FH03;FTTH-Cu;2027195;6000.0;Charleroi;Place de la Digue;36;;;1.0;;36556.0;CHARLEROI - FH03;2027195;36/37/38 place de la digue;02;Place de la Digue;36;;SDU;D;1;;3;;BUILDING template
75677;W01-C-Charleroi-FH03;FTTH-Cu;2034114;6000.0;Charleroi;Rue de la Montagne(Charleroi);19;;;1.0;;36826.0;CHARLEROI - FH03;2034114;;10;Rue de la Montagne;19;;SDU;;1;;1;;BUILDING template
75678;W01-C-Charleroi-FH03;FTTH-Cu;2034116;6000.0;Charleroi;Rue de la Montagne(Charleroi);21;;;1.0;;36827.0;CHARLEROI - FH03;2034116;;10;Rue de la Montagne;21;;SDU;;1;;1;;BUILDING template
75679;W01-C-Charleroi-FH03;FTTH-Cu;2034118;6000.0;Charleroi;Rue de la Montagne(Charleroi);23;;;1.0;;36828.0;CHARLEROI - FH03;2034118;;10;Rue de la Montagne;23;;SDU;;1;;2;;BUILDING template
75680;W01-C-Charleroi-FH03;FTTH-Cu;2034120;6000.0;Charleroi;Rue de la Montagne(Charleroi);25;;;1.0;;36829.0;CHARLEROI - FH03;2034120;;10;Rue de la Montagne;25;;SDU;;1;;2;;BUILDING template
75684;W01-C-Charleroi-FH03;FTTH-Cu;2034127;6000.0;Charleroi;Rue de la Montagne(Charleroi);33;;;1.0;;36830.0;CHARLEROI - FH03;2034127;;10;Rue de la Montagne;33;;SDU;;1;;2;;BUILDING template
75686;W01-C-Charleroi-FH03;FTTH-Cu;2034129;6000.0;Charleroi;Rue de la Montagne(Charleroi);36;;;1.0;;36614.0;CHARLEROI - FH03;2034129;36 rue de la montagne;02;Rue de la Montagne;36;;SDU;;1;;2;;BUILDING template
75713;W01-C-Charleroi-FH03;FTTH-Cu;2036111;6000.0;Charleroi;Rue du Palais;7;;;1.0;;36833.0;CHARLEROI - FH03;2036111;;10;Rue du Palais;7;;SDU;;;1;1;;BUILDING template
75715;W01-C-Charleroi-FH03;FTTH-Cu;2036117;6000.0;Charleroi;Rue du Palais;17;;;1.0;;36837.0;CHARLEROI - FH03;2036117;;10;Rue du Palais;17;;SDU;;1;;2;;BUILDING template
75719;W01-C-Charleroi-FH03;FTTH-Cu;2037360;6000.0;Charleroi;Rue du Pont Neuf(Charleroi);58;;1.0;1.0;1.0;36841.0;CHARLEROI - FH03;2037360;58 rue du pont neuf;10;Rue du Pont Neuf;58;;SDU;C;1;;1;;BUILDING template
75721;W01-C-Charleroi-FH03;FTTH-Cu;2037362;6000.0;Charleroi;Rue du Pont Neuf(Charleroi);64;;;1.0;;36843.0;CHARLEROI - FH03;2037362;64 rue du pont neuf;10;Rue du Pont Neuf;64;;SDU;;1;;1;;BUILDING template
75722;W01-C-Charleroi-FH03;FTTH-Cu;2037363;6000.0;Charleroi;Rue du Pont Neuf(Charleroi);66;;;1.0;;36844.0;CHARLEROI - FH03;2037363;66 rue du pont neuf;10;Rue du Pont Neuf;66;;SDU;;1;;1;;BUILDING template
75723;W01-C-Charleroi-FH03;FTTH-Cu;2037364;6000.0;Charleroi;Rue du Pont Neuf(Charleroi);68;;;1.0;;36845.0;CHARLEROI - FH03;2037364;;10;Rue du Pont Neuf;68;;SDU;;1;;2;;BUILDING template
75737;W01-C-Charleroi-FH03;FTTH-Cu;2039604;6000.0;Charleroi;Boulevard Joseph Tirou;65;;;1.0;;36681.0;CHARLEROI - FH03;2039604;;08;Boulevard Joseph Tirou;65;;SDU;;1;;1;;BUILDING template
75738;W01-C-Charleroi-FH03;FTTH-Cu;2039606;6000.0;Charleroi;Boulevard Joseph Tirou;67;;1.0;1.0;1.0;36682.0;CHARLEROI - FH03;2039606;67/69 boulevard Joseph tirou;08;Boulevard Joseph Tirou;67;;SDU;A;1;;4;;BUILDING template
75740;W01-C-Charleroi-FH03;FTTH-Cu;2039611;6000.0;Charleroi;Boulevard Joseph Tirou;73;;;1.0;;36685.0;CHARLEROI - FH03;2039611;;08;Boulevard Joseph Tirou;73;;SDU;D;1;;4;;BUILDING template
75742;W01-C-Charleroi-FH03;FTTH-Cu;2039615;6000.0;Charleroi;Boulevard Joseph Tirou;77;;;1.0;;36687.0;CHARLEROI - FH03;2039615;77 boulevard Joseph tirou;08;Boulevard Joseph Tirou;77;;SDU;A;1;;2;;BUILDING template
