ZONE_NAME;FIS_MDU;FIS_SDU;MDU_TOTAL;SDU_TOTAL;BUILDINGS_TOTAL;FIS_PROCENT;UNITS_TOTAL;FTS;FTS_TOTAL;FTS_PROCENT;MDU_SSV;SSV_PROCENT;STS;STS_PROCENT
W01-C-Namur-FH07;553.0;77.0;647.0;216.0;863.0;85.47140649149922;3622.0;225.0;295.0;76.27118644067797;454.0;70.17001545595053;848.0;98.26187717265353
W01-C-Namur-FH08;0.0;0.0;509.0;811.0;1320.0;0.0;4286.0;0.0;0.0;;148.0;29.076620825147348;1327.0;100.53030303030303
W01-C-Namur-FH09;0.0;0.0;693.0;1379.0;2072.0;0.0;4752.0;0.0;0.0;;43.0;6.204906204906205;2073.0;100.04826254826256
W01-C-Roeselare-FH01;0.0;0.0;374.0;1058.0;1432.0;0.0;3032.0;0.0;75.0;0.0;152.0;40.64171122994652;1387.0;96.85754189944134
W01-C-Roeselare-FH02;14.0;0.0;242.0;1630.0;1872.0;5.785123966942149;2853.0;2.0;60.0;3.3333333333333335;183.0;75.6198347107438;1872.0;100.0
W01-C-Roeselare-FH03;241.0;15.0;295.0;947.0;1242.0;81.69491525423729;2694.0;93.0;139.0;66.90647482014388;287.0;97.28813559322033;357.0;28.743961352657006
W01-C-Roeselare-FH04;136.0;64.0;136.0;1444.0;1580.0;100.0;2230.0;50.0;50.0;100.0;136.0;100.0;217.0;13.734177215189874
W01-C-Roeselare-FH05;55.0;7.0;67.0;977.0;1044.0;82.08955223880598;1496.0;20.0;21.0;95.23809523809523;66.0;98.50746268656717;105.0;10.057471264367816
W02-D-Evere-FH01;513.0;8.0;558.0;813.0;1371.0;91.93548387096774;5415.0;144.0;217.0;66.3594470046083;558.0;100.0;1306.0;95.25893508388037
W02-D-Evere-FH02;34.0;;34.0;;;100.0;1715.0;16.0;34.0;47.05882352941176;34.0;100.0;34.0;
W02-D-Hasselt-FH01;247.0;2.0;300.0;684.0;984.0;82.33333333333334;2013.0;2.0;94.0;2.127659574468085;299.0;99.66666666666667;357.0;36.28048780487805
W02-D-Hasselt-FH02;379.0;14.0;416.0;747.0;1163.0;91.10576923076923;3208.0;62.0;139.0;44.60431654676259;416.0;100.0;592.0;50.90283748925194
W02-D-Leuven-FH01;192.0;45.0;200.0;769.0;969.0;96.0;2095.0;58.0;63.0;92.06349206349206;198.0;99.0;435.0;44.89164086687307
W02-D-Leuven-FH02;131.0;7.0;701.0;851.0;1552.0;18.687589158345222;3815.0;0.0;27.0;0.0;482.0;68.75891583452211;1514.0;97.55154639175258
W02-D-Leuven-FH03;468.0;13.0;523.0;1046.0;1569.0;89.48374760994264;4510.0;58.0;177.0;32.7683615819209;521.0;99.61759082217974;648.0;41.30019120458891
W02-D-Liege-FH01;360.0;176.0;449.0;537.0;986.0;80.17817371937639;1011.0;68.0;114.0;59.64912280701754;258.0;57.46102449888642;713.0;72.31237322515213
W02-D-Liege-FH02;288.0;12.0;409.0;90.0;499.0;70.4156479217604;307.0;66.0;89.0;74.15730337078652;166.0;40.58679706601467;323.0;64.72945891783567
W02-D-Liege-FH03;3.0;1.0;363.0;88.0;451.0;0.8264462809917356;1708.0;81.0;119.0;68.0672268907563;242.0;66.66666666666666;303.0;67.1840354767184
W02-D-Uccle-FH01;0.0;0.0;482.0;296.0;778.0;0.0;3462.0;79.0;149.0;53.02013422818792;465.0;96.47302904564316;734.0;94.34447300771208
W02-D-Uccle-FH02;0.0;0.0;511.0;407.0;918.0;0.0;4335.0;112.0;198.0;56.56565656565656;477.0;93.34637964774952;823.0;89.65141612200436
W03-C-Antwerpen-West-FH01;388.0;35.0;437.0;150.0;587.0;88.78718535469108;3011.0;92.0;220.0;41.81818181818181;437.0;100.0;576.0;98.12606473594549
W03-C-Antwerpen-West-FH02;0.0;0.0;677.0;284.0;961.0;0.0;3306.0;0.0;0.0;;9.0;1.329394387001477;960.0;99.89594172736732
W03-C-Antwerpen-West-FH03;0.0;0.0;360.0;147.0;507.0;0.0;1805.0;0.0;8.0;0.0;59.0;16.38888888888889;351.0;69.23076923076923
W03-C-Antwerpen-West-FH04;668.0;6.0;807.0;454.0;1261.0;82.77571251548946;4588.0;29.0;193.0;15.025906735751295;781.0;96.77819083023545;1234.0;97.85884218873909
W03-C-Antwerpen-West-FH05;0.0;0.0;737.0;1004.0;1741.0;0.0;5172.0;0.0;0.0;;;;;
W03-C-Antwerpen-West-FH06;0.0;0.0;345.0;350.0;695.0;0.0;2073.0;3.0;59.0;5.084745762711865;261.0;75.65217391304347;684.0;98.41726618705036
W03-C-Antwerpen-West-FH07;506.0;2.0;628.0;261.0;889.0;80.57324840764332;3289.0;41.0;158.0;25.949367088607595;628.0;100.0;854.0;96.06299212598425
W03-C-Antwerpen-West-FH08;0.0;0.0;328.0;130.0;458.0;0.0;1824.0;0.0;0.0;;;;458.0;100.0
W03-C-Antwerpen-West-FH09;0.0;0.0;326.0;232.0;558.0;0.0;2839.0;0.0;0.0;;;;558.0;100.0
W03-C-Antwerpen-West-FH10;0.0;0.0;1062.0;848.0;1910.0;0.0;5653.0;0.0;0.0;;;;93.0;4.869109947643979
W03-C-Antwerpen-West-FH11;0.0;0.0;447.0;144.0;591.0;0.0;2771.0;0.0;16.0;0.0;17.0;3.803131991051454;586.0;99.15397631133672
W03-C-Charleroi-FH06;0.0;0.0;104.0;526.0;630.0;0.0;1034.0;0.0;0.0;;;;630.0;100.0
W03-C-Charleroi-FH07;;;;;;;0.0;0.0;0.0;;;;1749.0;
W03-C-Charleroi-FH08;0.0;0.0;193.0;1000.0;1193.0;0.0;1829.0;0.0;0.0;;;;1193.0;100.0
W03-C-Charleroi-FH09;0.0;0.0;394.0;1391.0;1785.0;0.0;2491.0;0.0;0.0;;;;1785.0;100.0
W03-C-Charleroi-FH10;0.0;0.0;327.0;1878.0;2205.0;0.0;3530.0;23.0;61.0;37.704918032786885;306.0;93.57798165137615;2144.0;97.23356009070295
W03-C-Charleroi-FH11;0.0;0.0;294.0;1629.0;1923.0;0.0;3168.0;27.0;39.0;69.23076923076923;264.0;89.79591836734694;1931.0;100.41601664066562
W03-C-Charleroi-FH12;0.0;0.0;183.0;1630.0;1813.0;0.0;2699.0;0.0;34.0;0.0;155.0;84.69945355191257;1808.0;99.72421400992829
W03-C-Charleroi-FH13;0.0;0.0;339.0;990.0;1329.0;0.0;2408.0;0.0;1.0;0.0;3.0;0.8849557522123894;1324.0;99.62377727614748
W03-C-Charleroi-FH14;0.0;0.0;182.0;863.0;1045.0;0.0;1470.0;0.0;0.0;;;;1045.0;100.0
W03-C-Charleroi-FH15;0.0;0.0;230.0;1233.0;1463.0;0.0;1955.0;0.0;0.0;;;;1463.0;100.0
W03-C-Charleroi-FH17;0.0;0.0;172.0;1657.0;1829.0;0.0;2313.0;0.0;0.0;;;;1835.0;100.32804811372336
W03-C-Charleroi-FH18;0.0;0.0;87.0;953.0;1040.0;0.0;1182.0;0.0;0.0;;;;1040.0;100.0
W03-C-Charleroi-FH19;0.0;0.0;573.0;312.0;885.0;0.0;2607.0;18.0;93.0;19.35483870967742;510.0;89.00523560209425;540.0;61.016949152542374
W03-C-Knokke-Heist-FH01;470.0;3.0;497.0;417.0;914.0;94.56740442655935;3556.0;82.0;277.0;29.602888086642597;497.0;100.0;557.0;60.94091903719912
W03-C-Knokke-Heist-FH03;0.0;0.0;709.0;159.0;868.0;0.0;4950.0;0.0;0.0;;;;868.0;100.0
W03-C-Knokke-Heist-FH04;7.0;0.0;336.0;163.0;499.0;2.083333333333333;3568.0;0.0;220.0;0.0;237.0;70.53571428571429;500.0;100.2004008016032
W03-C-Knokke-Heist-FH05;0.0;0.0;379.0;18.0;397.0;0.0;2685.0;0.0;0.0;;;;397.0;100.0
W03-C-Knokke-Heist-FH06;1.0;0.0;514.0;15.0;529.0;0.19455252918287938;4557.0;0.0;33.0;0.0;51.0;9.922178988326849;529.0;100.0
W03-C-Knokke-Heist-FH08;0.0;0.0;129.0;334.0;463.0;0.0;1611.0;0.0;0.0;;;;463.0;100.0
W03-C-Knokke-Heist-FH09;323.0;1.0;383.0;94.0;477.0;84.33420365535248;4358.0;10.0;309.0;3.2362459546925564;382.0;99.73890339425587;471.0;98.74213836477988
W03-C-Knokke-Heist-FH10;0.0;0.0;259.0;439.0;698.0;0.0;3070.0;0.0;0.0;;;;698.0;100.0
W03-C-Knokke-Heist-FH11;313.0;0.0;472.0;1313.0;1785.0;66.3135593220339;3681.0;18.0;182.0;9.89010989010989;472.0;100.0;1784.0;99.94397759103641
W03-C-Knokke-Heist-FH12;0.0;0.0;75.0;703.0;778.0;0.0;1449.0;0.0;0.0;;;;;
W03-C-Liege-FH04;496.0;52.0;571.0;320.0;891.0;86.86514886164623;4122.0;251.0;317.0;79.17981072555204;541.0;94.7460595446585;763.0;85.6341189674523
W03-C-Liege-FH05;0.0;0.0;425.0;351.0;776.0;0.0;3137.0;89.0;154.0;57.7922077922078;415.0;97.6470588235294;799.0;102.96391752577318
W03-C-Liege-FH06;0.0;0.0;171.0;60.0;231.0;0.0;2247.0;32.0;49.0;65.3061224489796;67.0;39.1812865497076;246.0;106.49350649350649
W03-C-Liege-FH07;0.0;0.0;795.0;305.0;1100.0;0.0;4964.0;98.0;138.0;71.01449275362319;707.0;88.93081761006289;1125.0;102.27272727272727
W03-C-Liege-FH08;0.0;0.0;721.0;278.0;999.0;0.0;4500.0;23.0;114.0;20.175438596491226;562.0;77.94729542302358;998.0;99.8998998998999
W03-C-Liege-FH09;0.0;0.0;434.0;317.0;751.0;0.0;2618.0;0.0;35.0;0.0;240.0;55.29953917050692;753.0;100.26631158455392
W03-C-Liege-FH10;0.0;1.0;567.0;664.0;1231.0;0.0;3112.0;0.0;0.0;;;;1231.0;100.0
W03-C-Liege-FH11;0.0;0.0;738.0;613.0;1351.0;0.0;4529.0;0.0;0.0;;444.0;60.16260162601627;1471.0;108.88230940044411
W03-C-Liege-FH12;0.0;0.0;633.0;2116.0;2749.0;0.0;4308.0;0.0;1.0;0.0;478.0;75.51342812006318;2752.0;100.10913059294289
W03-C-Liege-FH13;0.0;0.0;614.0;1991.0;2605.0;0.0;4028.0;0.0;0.0;;;;2605.0;100.0
W03-C-Liege-FH14;0.0;0.0;761.0;1297.0;2058.0;0.0;4695.0;0.0;0.0;;;;2058.0;100.0
