Lamkey;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;Quadrant_PR;BG_Name;VCA_Status;VCA
3043722;Nauwstraat;10;;D - Facade Box;D;;;PENDING
3944228;Zakstraat;15;;D - Facade Box;D;Zakstraat 13-15-17A;;PENDING
4061904;Frederik de Merodestraat;40;;D - Facade Box;D;Frederik de Merodestraat 38-40;;PENDING
4236745;Thaborstraat;17;;;;;;PENDING
4736702;Thaborstraat;19;;;;;;PENDING
4736704;Thaborstraat;21;;;;;;PENDING
6668746;Zakstraat;17;A;D - Facade Box;D;Zakstraat 13-15-17A;;PENDING
901434;Zakstraat;13;;D - Facade Box;D;Zakstraat 13-15-17A;;PENDING
903467;Lange Schipstraat;68;;;;;;PENDING
