Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
KNOKKE-HEIST - FH09;4337458;20977932;;August Beernaertstraat;7;;D;;;N;;N;;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;302697;20977871;;Louis Parentstraat;28;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;5559096;1809025;Parkstraat 19-21;Parkstraat;19;;A;;2020-02-26;Y;;Y;;;2020-03-29;BUILDING template
KNOKKE-HEIST - FH09;5561970;1809031;;Louis Parentstraat;12;;D;;;N;;N;;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;2756840;20977667;;Zeedijk-Heist;206;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;5579232;20977941;;Albatrosstraat;18;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;2756863;20977674;;Zeedijk-Heist;241;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;5579278;20977942;;August Beernaertstraat;20;;XC;2020-01-14;;Y;;Y;;;;BUILDING template
KNOKKE-HEIST - FH09;2756885;20977680;;Zeedijk-Heist;262;;A;2020-01-14;2020-03-29;Y;;Y;;2020-03-29;2020-03-29;BUILDING template
KNOKKE-HEIST - FH09;5579355;20977943;;Eerste-Geniestraat;14;;XA;2019-12-16;;Y;;Y;2019-12-13;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;5579365;20977944;;Elizabetlaan;379;;XA;;;Y;;Y;2020-02-05;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;2759165;20977720;Duinenstraat 17-19;Duinenstraat;19;;C;;;Y;;N;;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;5579523;20977947;;O.-L.-Vrouwstraat;4;;D;;;N;;N;;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;5579526;20977948;;Louis Parentstraat;15;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;4018334;20977891;Heldenplein 4-8;Heldenplein;8;;XA;;;Y;;Y;;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;5579527;20977949;;Louis Parentstraat;26;;XA;2020-12-17;;Y;;Y;2019-12-17;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;2756860;21118695;;Zeedijk-Heist;239;;XA;2020-01-15;;Y;;Y;2019-11-15;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;5579528;20977950;;Parkstraat;17;;XA;2019-12-23;;Y;;Y;2019-12-20;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;2759159;21117939;;Duinenstraat;11;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;4336994;20977916;;Zeedijk-Heist;132;;;;;N;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;5579529;20977951;Eerste-Geniestraat 16_Parkstraat 23-25;Parkstraat;23;;XA;;;Y;;Y;;;;BUILDING template
KNOKKE-HEIST - FH09;4335302;21344209;;Heldenplein;15;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;5579530;20977952;;Parkstraat;35;;XA;2019-12-16;;Y;;Y;2019-12-14;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;2759161;21117955;;Duinenstraat;12;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;5579550;20977953;;Serweytens de Mercxstraat;1;;XA;2020-01-14;;Y;;Y;2019-12-19;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;5567528;20977939;;August Beernaertstraat;15;;D;;;N;;N;;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;2760292;21344210;;Heldenplein;13;;XA;2020-01-16;;Y;;Y;;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;5579564;20977954;;Graaf d Ursellaan;51;;XA;2020-01-22;;Y;;Y;2020-01-24;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;4337345;21118862;;Zeedijk-Heist;265;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;5905456;20977956;Eerste-Geniestraat 17-19;Eerste-Geniestraat;19;;XA;;;Y;;Y;;;;BUILDING template
KNOKKE-HEIST - FH09;2756714;21118226;;Zeedijk-Heist;67;;XA;2020-01-15;;Y;;Y;2019-11-19;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;302700;21118072;;Louis Parentstraat;16;;D;;;N;;N;;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;4337347;21118865;;Zeedijk-Heist;268;;XA;2020-01-15;;Y;;Y;;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;297125;21118073;;Louis Parentstraat;17;;C;;;N;;N;;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;4337482;21118992;;Zeedijk-Heist;296;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;3939510;21118396;;Zeedijk-Heist;185;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;2756911;21118994;;Zeedijk-Heist;297;;XA;2020-01-22;;Y;;Y;2020-01-20;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;2759758;21344227;;Elizabetlaan;365;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;2759740;21344228;;Elizabetlaan;329;;XA;;;Y;;Y;2020-02-18;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;2756743;21118272;Zeedijk-Heist 100-101-102;Zeedijk-Heist;101;;XA;2020-01-16;;Y;;Y;2019-11-29;2020-03-29;;BUILDING template
KNOKKE-HEIST - FH09;297131;21118997;;Zeedijk-Heist;298;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;290625;21118324;;Zeedijk-Heist;160;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;4335301;21344211;;Heldenplein;5;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;2760291;21344212;;Heldenplein;12;;;;;;;N;;;;BUILDING template
KNOKKE-HEIST - FH09;2756837;21118472;;Zeedijk-Heist;203;;;;;;;N;;;;BUILDING template
