Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
EVERE - FH01;1623819;970052;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;14;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1624353;970467;;Twee Huizenstraat - Rue des Deux Maisons;40;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1623656;969909;;Eenboomstraat - Rue de l'Arbre Unique;103;;;;;N;;N;;;;BUILDING template
EVERE - FH01;5707334;5620980;;Avenue Jules Bordet - Jules Bordetlaan;132;B;;;;N;;N;;;;BUILDING template
EVERE - FH01;1624261;970410;;V-Daylaan - Avenue du V-Day;17;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1621038;967674;;Maquisstraat - Rue du Maquis;100;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1622144;968591;;Sint-Jozefstraat - Rue Saint-Joseph;6;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1620885;967558;;Leuvensesteenweg - Chaussée de Louvain;896;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1620528;967243;;Begeertenlaan - Avenue des Désirs;13;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1623946;970149;;Oud-Strijderslaan - Avenue des Anciens Combattants;17;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1623838;970071;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;41;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1623821;970054;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;16;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1624354;970468;;Twee Huizenstraat - Rue des Deux Maisons;42;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1623657;969910;;Eenboomstraat - Rue de l'Arbre Unique;105;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1622750;969145;;Constant Permekelaan - Avenue Constant Permeke;36;;;;;;;N;;;;BUILDING template
EVERE - FH01;726189;971379;;V-Daylaan - Avenue du V-Day;19;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1621040;967676;;Maquisstraat - Rue du Maquis;102;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1622145;968592;;Sint-Jozefstraat - Rue Saint-Joseph;8;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1620886;967559;;Leuvensesteenweg - Chaussée de Louvain;898;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1620529;967244;;Begeertenlaan - Avenue des Désirs;14;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1186609;966896;;Oud-Strijderslaan - Avenue des Anciens Combattants;21;;C;2019-09-30;2019-12-08;Y;;N;;;;BUILDING template
EVERE - FH01;1623839;970072;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;47;;D;;;N;;N;;;;BUILDING template
