Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
MECHELEN - FH01;3042694;434544;;Grote Markt;31;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4739222;445001;;Nieuwe Beggaardenstraat;13;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3050164;438298;WATERKANT - TICHELRIJ 10 t/m 14 THABORSTRAAT 35,37;Tichelrij;14;;X;;;N;;N;;;;BUILDING template
MECHELEN - FH01;901168;11452473;;Standonckstraat;13;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;1350667;425530;;Begijnenstraat;38;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3042695;434545;;Grote Markt;32;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;935328;452271;;Nieuwe Beggaardenstraat;15;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;905718;7092691;;Tichelrij;15;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;6420075;21850693;;Sint-Janstraat;102;C;;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3030841;7092647;;Begijnenstraat;39;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3042699;434546;;Grote Markt;34;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;930551;452031;;Nieuwe Beggaardenstraat;17;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3050146;7092666;;Tichelrij;1;A;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3030842;427882;;Begijnenstraat;40;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3042700;434547;;Grote Markt;35;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4247635;443256;;Nieuwe Beggaardenstraat;19;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4737549;444887;;Van Hoeystraat;5;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;903518;11452502;;Korte schipstraat;4;;;;;;;N;;;;BUILDING template
