Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
EVERE - FH02;5583260;13736055;;Oud-Strijderslaan;89;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;718106;12816672;Genévestraat 117-119_Henry Dunantlaan 1;Genevestraat;119;;A;2019-11-02;2020-02-18;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;718108;971140;;Genevestraat;115;;A;2019-11-02;2020-02-18;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;5583143;12816667;;Genevestraat;113;;A;2019-11-02;2020-02-18;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;5583144;5620950;;Genevestraat;117;;A;2019-11-02;2020-02-18;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;584107;12816669;;Vrijetijdslaan;2;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;584108;971056;;Vrijetijdslaan;10;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;1620846;967526;;Vrijetijdslaan;4;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;1620849;12816661;;Vrijetijdslaan;6;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;1620851;12816662;;Vrijetijdslaan;8;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;1621117;12816663;;Optimismelaan;91;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;1621118;967738;;Optimismelaan;93;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;1621119;12816664;;Optimismelaan;95;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;1288382;12816660;;Leopold III-laan;41;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;584105;971054;;Oud-Strijderslaan;111;;A;2019-11-02;2019-11-28;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;756472;971561;;Oud-Strijderslaan;87;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;756834;12816673;;Oud-Strijderslaan;81;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;756835;12816674;;Oud-Strijderslaan;101;;A;2019-11-02;2019-11-28;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;756836;12816675;;Oud-Strijderslaan;91;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;1320165;966926;;Oud-Strijderslaan;107;;A;2019-11-02;2019-11-28;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;1623991;970183;;Oud-Strijderslaan;83;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;1623999;970185;;Oud-Strijderslaan;93;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;1624000;12816665;;Oud-Strijderslaan;95;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;1624003;970187;;Oud-Strijderslaan;103;;A;2019-11-02;2019-11-28;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;1624005;12816666;;Oud-Strijderslaan;109;;A;2019-11-02;2019-11-28;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;5583259;12816668;;Oud-Strijderslaan;85;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;5583261;971044;;Oud-Strijderslaan;97;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;5583262;971045;;Oud-Strijderslaan;105;;A;2019-11-02;2019-11-28;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;718683;13979205;;Leopold III-laan;43;;XA;2019-11-02;;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;718099;14048314;;Henry Dunantlaan;3;;A;2019-11-02;2019-11-28;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;718101;12816671;;Henry Dunantlaan;7;;A;2019-11-02;2019-11-28;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;718103;971138;Henry Dunantlaan 1_Genevestraat117-119;Henry Dunantlaan;1;;A;2019-11-02;2020-02-18;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;5583269;971048;;Henry Dunantlaan;5;;A;2019-11-02;2019-11-28;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
EVERE - FH02;5583270;971049;;Henry Dunantlaan;9;;A;2019-11-02;2019-11-28;Y;2019-11-19;Y;2019-11-07;;;BUILDING template
