Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
HASSELT - FH04;2425157;387220;;Lazarijstraat;21;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;3937581;394722;;Palmstraat;44;A;XC;2019-11-19;;Y;2019-10-29;Y;2018-12-18;;;BUILDING template
HASSELT - FH04;701614;402023;;Ambachtsschoolstraat;1;;;;;;;N;;;;BUILDING template
HASSELT - FH04;5309827;398856;;Heilig-Hartplein;14;A;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425161;387221;;Lazarijstraat;22;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4882254;10522509;;Permekelaan;1;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408077;10522450;;Ambachtsschoolstraat;2;;XC;;;Y;2019-09-26;Y;2019-12-18;;;BUILDING template
HASSELT - FH04;701162;401882;;Hekkelaarstraat;1;;C;2019-11-19;2019-11-20;Y;2019-10-29;Y;2019-12-18;;;BUILDING template
HASSELT - FH04;2425165;387222;;Lazarijstraat;24;;;;;;;N;;;;BUILDING template
HASSELT - FH04;700938;401825;;Permekelaan;2;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408078;381787;;Ambachtsschoolstraat;3;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701161;401881;;Hekkelaarstraat;2;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425168;387223;;Lazarijstraat;26;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2405812;380810;;Permekelaan;3;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701611;402020;;Ambachtsschoolstraat;4;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2417610;385103;;Hekkelaarstraat;3;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425171;387224;;Lazarijstraat;28;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4882243;12621019;;Permekelaan;4;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888731;398000;Ambachtsschoolstraat 5-5A-7-9;Ambachtsschoolstraat;5;;B;;;Y;;N;;;;BUILDING template
HASSELT - FH04;2417612;385104;;Hekkelaarstraat;4;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425174;387225;;Lazarijstraat;30;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4882258;10522510;;Permekelaan;5;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408079;381788;;Ambachtsschoolstraat;6;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2417614;385105;;Hekkelaarstraat;5;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425178;387226;;Lazarijstraat;31;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2405813;380811;;Permekelaan;6;;;;;;;N;;;;BUILDING template
HASSELT - FH04;3987979;394939;Ambachtsschoolstraat 5-5A-7-9;Ambachtsschoolstraat;7;;B;;;Y;;N;;;;BUILDING template
HASSELT - FH04;2417615;385106;;Hekkelaarstraat;6;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425182;387227;;Lazarijstraat;32;;;;;;;N;;;;BUILDING template
HASSELT - FH04;700915;401802;;Permekelaan;7;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888743;398001;;Ambachtsschoolstraat;8;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701160;401880;;Hekkelaarstraat;7;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425185;387228;;Lazarijstraat;33;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2405815;380812;;Permekelaan;8;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408080;381789;Ambachtsschoolstraat 5-5A-7-9;Ambachtsschoolstraat;9;;B;;;Y;2019-10-29;N;;;;BUILDING template
HASSELT - FH04;2417617;385107;;Hekkelaarstraat;8;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425188;387229;;Lazarijstraat;34;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2405817;380813;;Permekelaan;10;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408082;381790;;Ambachtsschoolstraat;10;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2417609;385102;;Hekkelaarstraat;2;A;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2425191;387230;;Lazarijstraat;35;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4069145;395166;;Permekelaan;11;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408083;381791;;Ambachtsschoolstraat;11;;;;;;;N;;;;BUILDING template
HASSELT - FH04;1421;380151;;Hendrik van Veldekesingel;39;;C;;;Y;2019-10-15;N;;;;BUILDING template
HASSELT - FH04;4886734;10522516;;Lazarijstraat;36;;C;2019-11-19;2019-11-25;Y;2019-09-26;Y;2019-08-29;;;BUILDING template
HASSELT - FH04;700916;401803;;Permekelaan;13;;;;;;;N;;;;BUILDING template
