Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
ANTWERPEN-WEST - FH04;60016;12736327;;Huidevettersstraat;39;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;1967391;653920;;Koningstraat;11;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;182743;637656;;Meir;1;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;109358;612849;;Rozenstraat;1;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;2068300;8422560;;Lange Klarenstraat;25;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;1945553;12736328;Nieuwe Gaanderij;Huidevettersstraat;40;;XA;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH04;1967396;653921;;Koningstraat;13;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;177007;12736447;;Meir;2;;;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;109356;612847;;Rozenstraat;2;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;56796;8422592;;Lange Nieuwstraat;3;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;1967400;653922;;Koningstraat;15;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;49258;710638;;Meir;4;;;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;4508992;706891;;Rozenstraat;3;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;2027700;8422545;;Lange Nieuwstraat;19;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;1945572;650255;;Huidevettersstraat;42;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;1967410;653923;;Koningstraat;17;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;2001378;12736448;;Meir;5;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;4509004;706894;;Rozenstraat;4;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;56793;8422590;;Lange Nieuwstraat;27;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;60787;714490;;Huidevettersstraat;43;;;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;1967415;653924;;Koningstraat;21;;;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;5566589;712116;;Meir;8;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;2048823;672443;;Rozenstraat;5;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;110031;8422497;;Lange Nieuwstraat;29;;C;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;1945587;650256;;Huidevettersstraat;44;;D;;;N;2020-01-14;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;1967419;653925;;Koningstraat;23;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;2001386;12736449;;Meir;9;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;4142959;693829;;Rozenstraat;7;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;110035;8422499;;Lange Nieuwstraat;31;;;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;60788;714499;;Huidevettersstraat;45;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;109975;612950;;Koningstraat;25;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;59379;714107;;Meir;10;;;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;2048825;672444;;Rozenstraat;9;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;962184;8422611;;Lange Nieuwstraat;32;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;59543;714116;;Huidevettersstraat;46;;D;;;N;2020-01-14;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;182744;12736450;;Meir;11;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;110037;8422500;;Lange Nieuwstraat;35;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;60789;714510;;Huidevettersstraat;47;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;173733;624389;;Korte Gasthuisstraat;3;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;59990;714163;;Meir;12;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;4508996;706892;;Rozenstraat;11;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;962181;8422610;;Lange Nieuwstraat;38;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;59542;714115;;Huidevettersstraat;48;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;173704;624323;;Korte Gasthuisstraat;5;;D;;;N;2020-01-14;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;60581;12736451;;Meir;13;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;4508999;706893;;Rozenstraat;13;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;2027759;8422547;;Lange Nieuwstraat;47;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;1945602;650257;;Huidevettersstraat;49;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;1884627;643421;;Korte Gasthuisstraat;7;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;4507955;12736452;;Meir;15;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH04;109357;612848;;Rozenstraat;14;;;;;;;N;;;;BUILDING template
