Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
SINT-NIKLAAS - FH02;3504323;10473062;;Mercatorstraat;9;;D;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;56065;813739;;Mercatorstraat;147;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3484838;792511;;Ankerstraat;63;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3517646;804335;;Veldstraat;29;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3500266;11492771;;Knaptandstraat;26;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3486978;793879;;Brugsken;34;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;4449124;809657;;Mercatorstraat;11;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3504491;800704;;Mercatorstraat;151;;XA;;;Y;;Y;;;;BUILDING template
SINT-NIKLAAS - FH02;3484840;792513;Ankerstraat 65-67;Ankerstraat;65;;D;;;N;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3517649;804337;;Veldstraat;31;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3500269;799074;;Knaptandstraat;28;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3486980;793881;;Brugsken;36;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3504327;800641;;Mercatorstraat;13;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3484842;792515;;Ankerstraat;69;;D;;;N;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3517654;804339;;Veldstraat;33;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3948699;807100;;Knaptandstraat;30;;D;;;N;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;1513567;791399;;Brugsken;38;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;56088;813756;;Mercatorstraat;15;;D;;;N;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;4447930;809496;;Mercatorstraat;155;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3484845;792517;;Ankerstraat;71;;XC;;;Y;;Y;;;;BUILDING template
SINT-NIKLAAS - FH02;4261387;808838;;Veldstraat;35;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3500276;799076;;Knaptandstraat;32;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3486982;793882;;Brugsken;42;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;56093;813760;;Mercatorstraat;17;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3504502;800707;;Mercatorstraat;157;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3484846;792518;;Ankerstraat;73;;XC;;;Y;;Y;;;;BUILDING template
SINT-NIKLAAS - FH02;3948832;10473110;;Veldstraat;37;;D;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3500281;799078;;Knaptandstraat;34;;;;;;;N;;;;BUILDING template
SINT-NIKLAAS - FH02;3486983;793883;;Brugsken;44;;;;;;;N;;;;BUILDING template
