Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
HASSELT - FH02;2426971;13944435;;Maastrichterstraat;23;;;;;;;N;;;;BUILDING template
HASSELT - FH02;2455457;5157846;;Kattegatstraat;1;;B;;;Y;;N;;;;BUILDING template
HASSELT - FH02;70330;402705;;Thonissenlaan;75;;F;;;;;N;;;;BUILDING template
HASSELT - FH02;2426973;13944437;;Maastrichterstraat;25;;D;;;;;N;;;;BUILDING template
HASSELT - FH02;4846446;396671;;Thonissenlaan;81;;;;;;;N;;;;BUILDING template
HASSELT - FH02;2442438;390966;Res. Tymeran;Thonissenlaan;83;;C;;2019-07-09;Y;;Y;2019-10-03;;;BUILDING template
HASSELT - FH02;2412699;6623986;;Demerstraat;56;;D;;;;;Y;2019-11-19;;;BUILDING template
HASSELT - FH02;1143120;379445;;Demerstraat;58;;;;;;;N;;;;BUILDING template
HASSELT - FH02;2426977;13944438;;Maastrichterstraat;27;;D;;;;;N;;;;BUILDING template
HASSELT - FH02;1143121;379446;;Demerstraat;60;;D;;;;;Y;2019-11-19;;;BUILDING template
HASSELT - FH02;2412717;5157657;Primark is huurder  van het gebouw;Demerstraat;64;;F;;;;;Y;2019-11-19;;;BUILDING template
HASSELT - FH02;2412730;5157658;;Demerstraat;68;;D;;;;;N;;;;BUILDING template
HASSELT - FH02;655210;400116;Vme de stadswal;Martelarenlaan;9;;A;;2019-08-06;Y;;Y;2019-10-03;;;BUILDING template
HASSELT - FH02;70912;404254;;Demerstraat;72;;C;;;Y;;N;;;;BUILDING template
HASSELT - FH02;655212;400117;;Martelarenlaan;11;;C;;2019-08-06;Y;;N;;;;BUILDING template
HASSELT - FH02;2412739;383426;;Demerstraat;76;;;;;;;N;;;;BUILDING template
HASSELT - FH02;2427994;5157756;;Martelarenlaan;13;;XC;;;Y;;Y;;;;BUILDING template
HASSELT - FH02;70913;404256;;Demerstraat;78;;C;;;Y;;N;;;;BUILDING template
HASSELT - FH02;2428154;6624115;;Martelarenlaan;15;;;;;;;N;;;;BUILDING template
HASSELT - FH02;70234;6623987;;Demerstraat;80;;C;;;Y;;N;;;;BUILDING template
HASSELT - FH02;4846399;396667;Demerpoort;Witte-Nonnenstraat;4;;XC;;;Y;;Y;2019-10-03;;;BUILDING template
HASSELT - FH02;5422373;399025;;Demerstraat;80;A;;;;;;N;;;;BUILDING template
HASSELT - FH02;2429666;388340;Poort 58;Molenpoort;1;;B;;;Y;;N;;;;BUILDING template
HASSELT - FH02;70376;402806;;Witte-Nonnenstraat;8;;;;;;;N;;;;BUILDING template
HASSELT - FH02;2409716;382652;;Bonnefantenstraat;3;;;;;;;N;;;;BUILDING template
