Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
KNOKKE - FH01;2763030;8502210;;Lippenslaan;71;;A;2019-09-16;2019-10-18;Y;;Y;2019-09-26;2019-09-26;2019-10-22;BUILDING template
KNOKKE - FH01;4347343;11217122;;Pepersstraat;9;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2758344;8502089;;Boudewijnlaan;85;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763032;8502211;;Lippenslaan;72;;C;;;Y;;N;;2019-09-17;;BUILDING template
KNOKKE - FH01;335939;8502488;;Pepersstraat;10;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;4226906;8502556;;Boudewijnlaan;86;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763034;8502212;;Lippenslaan;73;;XA;;;Y;;Y;2019-10-09;2019-10-01;;BUILDING template
KNOKKE - FH01;4141436;8502547;;Pepersstraat;11;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2758345;8502090;;Boudewijnlaan;87;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763037;8502213;;Lippenslaan;76;;A;2019-08-23;2019-08-25;Y;;Y;2019-09-04;2019-09-17;2019-09-26;BUILDING template
KNOKKE - FH01;5431199;8502606;;Pepersstraat;11;A;;;;;;N;;;;BUILDING template
KNOKKE - FH01;1327498;8502015;;Boudewijnlaan;88;;C;;;N;;N;;2019-10-29;;BUILDING template
KNOKKE - FH01;2763044;8502215;;Lippenslaan;79;;XA;;;Y;;Y;2019-10-09;2019-10-01;;BUILDING template
KNOKKE - FH01;2765463;8502313;;Pepersstraat;12;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2758346;8502091;;Boudewijnlaan;89;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763045;8502216;;Lippenslaan;80;;XA;;;Y;;Y;2019-09-04;2019-09-17;;BUILDING template
KNOKKE - FH01;335938;8502487;;Pepersstraat;13;;D;;;N;;N;;2019-11-19;;BUILDING template
KNOKKE - FH01;336608;11217128;;Boudewijnlaan;90;;D;;;N;;N;;2019-09-26;;BUILDING template
KNOKKE - FH01;333112;8502434;;Lippenslaan;81;;XA;;;Y;;Y;2019-09-04;2019-09-26;;BUILDING template
KNOKKE - FH01;2765465;8502314;;Pepersstraat;14;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2758347;8502092;;Boudewijnlaan;91;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333114;8502436;;Lippenslaan;83;;A;2019-08-25;2019-09-25;Y;;Y;2019-08-29;2019-09-26;2019-09-26;BUILDING template
KNOKKE - FH01;2765466;8502315;;Pepersstraat;16;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2758348;8502093;;Boudewijnlaan;93;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763049;8502217;;Lippenslaan;84;;XA;;;Y;;Y;2019-09-26;2019-09-26;;BUILDING template
KNOKKE - FH01;2765468;8502316;;Pepersstraat;18;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;4347812;8502590;;Boudewijnlaan;95;;;;;;;N;;;;BUILDING template
