Projectnummer;LAM MK;LU Key;Opdrachttemplate;Quadrant;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU
KNOKKE-HEIST - FH09;2766157;2766157;BUILDING template;XA;Serweytens de Mercxstraat;29;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2766964;2766964;BUILDING template;XA;Graaf d Ursellaan;3;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2766972;2766972;BUILDING template;XA;Graaf d Ursellaan;6;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2766974;2766974;BUILDING template;XA;Graaf d Ursellaan;7;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2766976;2766976;BUILDING template;XA;Graaf d Ursellaan;11;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2766988;2766988;BUILDING template;XA;Graaf d Ursellaan;16;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2766998;2766998;BUILDING template;XA;Graaf d Ursellaan;26;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2767002;2767002;BUILDING template;XA;Graaf d Ursellaan;27;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2767025;2767025;BUILDING template;XA;Graaf d Ursellaan;40;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2767028;2767028;BUILDING template;XA;Graaf d Ursellaan;41;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2767033;2767033;BUILDING template;XA;Graaf d Ursellaan;43;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2767037;2767037;BUILDING template;XA;Graaf d Ursellaan;46;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2767038;2767038;BUILDING template;XA;Graaf d Ursellaan;47;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2767041;2767041;BUILDING template;XA;Graaf d Ursellaan;49;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;3923060;3923060;BUILDING template;XA;Serweytens de Mercxstraat;8;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;4335334;4335334;BUILDING template;XA;Serweytens de Mercxstraat;32;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;4337361;4337361;BUILDING template;XA;Louis Parentstraat;22;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;5559096;5559096;BUILDING template;XA;Parkstraat;19;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;5579355;5579355;BUILDING template;XA;Eerste-Geniestraat;14;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;5579365;5579365;BUILDING template;XA;Elizabetlaan;379;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;5579527;5579527;BUILDING template;XA;Louis Parentstraat;26;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;5579528;5579528;BUILDING template;XA;Parkstraat;17;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;5579529;5579529;BUILDING template;XA;Parkstraat;23;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;5579530;5579530;BUILDING template;XA;Parkstraat;35;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;5579550;5579550;BUILDING template;XA;Serweytens de Mercxstraat;1;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;5579564;5579564;BUILDING template;XA;Graaf d Ursellaan;51;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71704;71704;BUILDING template;XA;Albatrosstraat;20;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71698;71698;BUILDING template;XA;Albatrosstraat;33;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2759743;2759743;BUILDING template;XA;Elizabetlaan;335;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;71739;71739;BUILDING template;XA;Elizabetlaan;353;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2759760;2759760;BUILDING template;XA;Elizabetlaan;371;;B;BOWN;B;BOWN
