Projectnummer;LAM MK;LU Key;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU;quadrant
KNOKKE - FH01;338528;8335187;(L/B/S)U template;Victor Lamoralstraat;4;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;338528;8339435;(L/B/S)U template;Victor Lamoralstraat;4;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;338528;8343610;(L/B/S)U template;Victor Lamoralstraat;4;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;338528;8348088;(L/B/S)U template;Victor Lamoralstraat;4;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;338528;8357254;(L/B/S)U template;Victor Lamoralstraat;4;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;338528;8366049;(L/B/S)U template;Victor Lamoralstraat;4;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;338528;8366050;(L/B/S)U template;Victor Lamoralstraat;4;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;338528;11226831;(L/B/S)U template;Victor Lamoralstraat;4;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;338529;8332585;(L/B/S)U template;Victor Lamoralstraat;6;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;338529;8349807;(L/B/S)U template;Victor Lamoralstraat;6;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;338529;8359059;(L/B/S)U template;Victor Lamoralstraat;6;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;338529;8363363;(L/B/S)U template;Victor Lamoralstraat;6;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;338529;11226832;(L/B/S)U template;Victor Lamoralstraat;6;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;338529;11226833;(L/B/S)U template;Victor Lamoralstraat;6;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;977638;8332946;(L/B/S)U template;Paul Parmentierlaan;104;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;977638;8337180;(L/B/S)U template;Paul Parmentierlaan;104;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;977638;8359357;(L/B/S)U template;Paul Parmentierlaan;104;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;977638;8363713;(L/B/S)U template;Paul Parmentierlaan;104;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;977638;8363714;(L/B/S)U template;Paul Parmentierlaan;104;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;977638;11289033;(L/B/S)U template;Paul Parmentierlaan;104;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;1279126;8334919;(L/B/S)U template;Paul Parmentierlaan;103;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;1279126;8339184;(L/B/S)U template;Paul Parmentierlaan;103;;B;BOWN;B;BOWN;XC
KNOKKE - FH01;1279126;8339185;(L/B/S)U template;Paul Parmentierlaan;103;;B;BOWN;B;BOWN;XC
